FragmentID, NarrID, EntryDate, ServerEntryDate,TR01_Motivation-Challenged,TR01_Motivation-Energised,TR01_Motivation-Neutral,TR01_Motivation-X,TR01_Motivation-Y,TR01_Motivation-N/A,TR02_Prioritization-Operational imperatives,TR02_Prioritization-Strategic goals,TR02_Prioritization-People issues,TR02_Prioritization-X,TR02_Prioritization-Y,TR02_Prioritization-N/A,TR03_Communication Style-One way,TR03_Communication Style-Need to know,TR03_Communication Style-Two way,TR03_Communication Style-X,TR03_Communication Style-Y,TR03_CommunicationStyle-N/A,TR04_Leadership Style-Political and cautious,TR04_Leadership Style-Realistic and tough,TR04_Leadership Style-Passionate and transformational,TR04_Leadership Style-X,TR04_Leadership Style-Y,TR04_LeadershipStyle-N/A,TR05_Decision Making-Analytical,TR05_Decision Making-Authoritative,TR05_Decision Making-Consultative,TR05_Decision Making-X,TR05_Decision Making-Y,TR05_DecisionMaking-N/A,TR06_Driver-Vision,TR06_Driver-Adaptability,TR06_Driver-Determination,TR06_Driver-X,TR06_Driver-Y,TR06_Driver-N/A,TR07_Qualities-Trustworthiness,TR07_Qualities-Credibility,TR07_Qualities-Inspiring,TR07_Qualities-X,TR07_Qualities-Y,TR07_Qualities-N/A,TR08_Messaging-Do different things,TR08_Messaging-Do the same things,TR08_Messaging-Do things differently,TR08_Messaging-X,TR08_Messaging-Y,TR08_Messaging-N/A,TR09_Stakeholders-Corporate stakeholder,TR09_Stakeholders-Customers or consumers,TR09_Stakeholders-Staff or employees,TR09_Stakeholders-X,TR09_Stakeholders-Y,TR09_Stakeholders-N/A,TR10_People Relating-Directed,TR10_People Relating-Collaborated,TR10_People Relating-Empowered,TR10_People Relating-X,TR10_People Relating-Y,TR10_PeopleRelating-N/A,TR11_Contribution-Generated ideas,TR11_Contribution-Set goals,TR11_Contribution-Connected people,TR11_Contribution-X,TR11_Contribution-Y,TR11_Contribution-N/A,TR12_Effective Leader-More innovation and enterprise,TR12_Effective Leader-More vision and passion,TR12_Effective Leader-More critical reasoning,TR12_Effective Leader-X,TR12_Effective Leader-Y,TR12_EffectiveLeader-N/A,RL01_Relationship to Leader,RL02_Experience shared with,Respondent ID,Leader ID,FT01_Story,FT02_title,FT03_Keyword one,FTO4_Keyword two,FT05_Keyword three,AudioUpload,PhotoUpload,ST01_CoreCompetencies1-InterpersonalSkills-XRight,ST01_CoreCompetencies1-InterpersonalSkills-YTop,ST01_CoreCompetencies1-DevelopingPeople-XRight,ST01_CoreCompetencies1-DevelopingPeople-YTop,ST01_CoreCompetencies1-InfluencingOthers-XRight,ST01_CoreCompetencies1-InfluencingOthers-YTop,ST01_CoreCompetencies1-ThinkingStrategically-XRight,ST01_CoreCompetencies1-ThinkingStrategically-YTop,ST02_CoreCompetencies2-ActionAndResults-XRight,ST02_CoreCompetencies2-ActionAndResults-YTop,ST02_CoreCompetencies2-ChangeAndInnovation-XRight,ST02_CoreCompetencies2-ChangeAndInnovation-YTop,ST02_CoreCompetencies2-ClientFocus-XRight,ST02_CoreCompetencies2-ClientFocus-YTop,ST02_CoreCompetencies2-EthicsAndValues-XRight,ST02_CoreCompetencies2-EthicsAndValues-YTop,ProjectID,ApplicationName,Language
c7bdccf2-3457-4d8b-b438-46124704ab00,6,11:48.4,11:55.6,36.219128,46.707314,17.073559,0.40427214,0.40448534,,46.79955,30.609756,22.59069,0.3789557,0.26508048,,35.182804,27.68292,37.134277,0.5097574,0.23973413,,36.204712,28.170738,35.62455,0.49709916,0.24395856,,43.865517,27.195124,28.939358,0.4253692,0.23550974,,39.890015,26.707315,33.402668,0.4675633,0.23128535,,54.123833,25.243906,20.632265,0.33254218,0.2186122,,17.977896,63.780487,18.241615,0.5013186,0.552339,,23.012377,26.707315,50.280308,0.63633966,0.23128535,,23.792452,58.902443,17.305107,0.4675633,0.5100952,,56.121357,23.780489,20.098154,0.31988397,0.20593904,,19.749022,28.170738,52.080242,0.66165614,0.24395856,,Peer of the Leader,Yes,GaryRespondantA,JoeLeaderX,Story entry here.,Story title here.,happy,nice,kind,,,0.22270778,0.7719749,0.88761544,0.5459475,0.7029189,0.8267694,0.5921009,0.29480594,0.90344656,0.89069635,0.3889347,0.7148973,0.7767975,0.38384706,0.2596471,0.21718037,projectname,SenseMaker,En
ea69be45-cbc1-4134-b608-668a5983a92f,7,43:40.9,43:50.4,95.966995,2.31707,1.7159376,0.028744726,0.020065835,,16.336445,66.21951,17.444042,0.505538,0.57346094,,52.777737,7.6829224,39.53934,0.43380803,0.06653413,,81.364746,15.487801,3.1474512,0.1089135,0.13412437,,5.27542,92.560974,2.1636035,0.48444092,0.80157804,,0.60833967,2.31707,97.07459,0.9823312,0.020065835,,,,,,,1,,,,,,1,,,,,,1,,,,,,1,,,,,,1,1.5541015,47.68293,50.76297,0.7460443,0.41293415,,Peer of the Leader,No,SeanRespondantB,JoeLeaderX,Story entry here.,Story title here.,happy,nice,kind,,,0.12772098,0.93635845,0.14091359,0.92950916,0.9799637,0.88613015,0.14619063,0.9021119,0.82165235,0.93179226,0.72402704,0.93864155,0.117166884,0.93179226,0.14355211,0.92950916,projectname,SenseMaker,En
c93e65b2-72f3-4184-b04b-4a0da6f3bc7d,0,13:06.9,13:13.6,16.315134,69.634155,14.050711,0.48867792,0.60303175,,61.690224,19.390251,18.91952,0.28614646,0.16791956,,17.115788,14.02439,68.85982,0.7587201,0.12145126,,11.549236,80.85367,7.597097,0.4802393,0.70019275,,57.0489,19.390251,23.56085,0.33255976,0.16791956,,17.703405,27.19513,55.10147,0.6869903,0.23550984,,17.89072,68.17074,13.938543,0.4802391,0.5903586,,55.183075,18.902443,25.914482,0.353657,0.16369517,,17.600504,66.21952,16.179976,0.49289733,0.57346106,,20.986301,22.317085,56.696613,0.67855155,0.19326593,,14.917578,71.58537,13.49705,0.49289733,0.6199293,,22.964283,24.268303,52.767418,0.64901567,0.21016347,,Peer of the Leader,Yes,UmbertoRespondantC,JoeLeaderX,Story entry here.,Story title here.,happy,nice,kind,,,0.14089715,0.8358447,0.6395779,0.8061643,0.2517151,0.40205473,0.72664917,0.29931504,0.8585753,0.77648395,0.21477579,0.12123281,0.8401056,0.8084474,0.97994727,0.1714611,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b486,1,50:39.2,50:46.1,14.402106,73.89706,11.700837,0.48649365,0.63994855,,46.223305,17.034317,36.74238,0.45259535,0.14751717,,13.421715,75.85784,10.720445,0.48649365,0.6569289,,10.351763,43.01471,46.63353,0.6814089,0.37250733,,15.536211,16.544113,67.91968,0.76191735,0.14327204,,12.092368,45.465683,42.441948,0.6517479,0.39373282,,28.63856,42.034317,29.327124,0.5034428,0.3640172,,53.73826,15.563728,30.698008,0.38479874,0.13478187,,17.03172,69.4853,13.482988,0.48225635,0.6017426,,42.96641,15.073533,41.960056,0.4949682,0.13053678,,46.368706,43.01471,10.616587,0.3212394,0.37250733,,,,,,,1,External to YG,Yes,EmilyRespondantD,JoeLeaderX,Story entry here.,Story title here.,diligent,creative,thorough,,,0.9298318,0.8085046,0.39948878,0.17380136,0.54724604,0.48430365,0.84276056,0.8267694,0.9773252,0.8678653,0.8928925,0.8039384,0.84012204,0.8678653,0.9298318,0.88613015,projectname,SenseMaker,En
c8e5bafe-4466-442b-8341-4db519eb8957,2,09:12.3,09:19.0,19.191904,62.622547,18.185547,0.4949682,0.54231125,,65.00031,15.073533,19.926157,0.27462924,0.13053678,,69.482704,14.583328,15.933971,0.23225635,0.12629165,,15.515434,69.97549,14.509077,0.4949682,0.6059877,,14.780142,71.446075,13.773784,0.4949682,0.61872303,,24.168638,20.465683,55.36568,0.6559852,0.17723282,,68.52307,13.112746,18.36418,0.24920551,0.11355639,,15.361728,75.367645,9.270625,0.4695445,0.6526838,,16.853079,18.995104,64.15182,0.73649365,0.16449757,,11.527395,78.79902,9.673587,0.49073094,0.6823995,,21.023907,19.975487,59.000607,0.6898835,0.17298774,,58.9601,22.916672,18.123232,0.29581568,0.19845834,,Peer of the Leader,Yes,MariaRespondantE,JoeLeaderX,Story entry here.,Story title here.,diligent,creative,thorough,,,0.29922494,0.8678653,0.23853892,0.48886985,0.72402704,0.6989155,0.6369558,0.82220316,0.19632256,0.8085046,0.32824868,0.7126142,0.64223284,0.81763697,0.9060851,0.24686074,projectname,SenseMaker,En
b6b593d4-bff2-4fbb-8c07-1915dd0ad43f,3,28:31.6,28:37.9,17.009497,75,7.9905024,0.45490506,0.6495,,33.633965,35,31.366035,0.48866034,0.30310002,,16.607107,71.58537,11.807527,0.4760021,0.6199293,,28.985415,25.731703,45.28288,0.58148736,0.22283658,,22.722164,24.756096,52.52174,0.6489979,0.2143878,,19.610092,20.853653,59.536255,0.6996308,0.18059267,,10.819307,82.31708,6.8636136,0.4802215,0.7128658,,26.209867,26.219511,47.570618,0.6068038,0.22706096,,35.387592,34.024395,30.588013,0.4760021,0.2946512,,60.940754,24.268297,14.7909565,0.26925105,0.21016341,,41.9462,15.000001,43.0538,0.505538,0.12989998,,,,,,,1,Peer of the Leader,Yes,SophiaRespondantI,ShavonLeaderY,Story entry here.,Story title here.,diligent,creative,thorough,,,0.82165235,0.8313356,0.5050297,0.64640415,0.8110983,0.75371003,0.6000165,0.8747146,0.82165235,0.8587329,0.45225924,0.72402966,0.8269294,0.72631276,0.47864446,0.47745436,projectname,SenseMaker,En
8582479c-b27d-4195-a165-5dca3c3704a9,4,32:23.6,32:29.9,17.22973,15.487801,67.28247,0.7502637,0.13412437,,9.12022,10.6097555,80.27002,0.85574895,0.0918805,,11.539702,9.146339,79.31396,0.8388713,0.07920729,,86.35497,7.195122,6.4499073,0.100474685,0.06230975,,8.024209,86.21951,5.7562795,0.48866034,0.746661,,,,,,,1,,,,,,1,10.041296,81.34146,8.617244,0.49287975,0.70441705,,76.43318,13.536583,10.030231,0.16798523,0.11722682,,11.353428,83.78049,4.866084,0.4675633,0.725539,,13.502238,76.95122,9.546545,0.4802215,0.6663976,,13.192473,78.41463,8.392893,0.4760021,0.6790707,,Peer of the Leader,Yes,PaulRespondantJ,ShavonLeaderY,Story entry here.,Story title here.,bully,ashamed,mad,,,0.15146768,0.88613015,0.16466029,0.6829338,0.16466029,0.76740867,0.16729881,0.5916096,0.18840699,0.8039384,0.17257586,0.57791096,0.6052935,0.84503424,0.19632256,0.7148973,projectname,SenseMaker,En
3efa72c3-d656-4f44-a0a8-8c1a30c7cdaf,5,07:10.8,07:17.9,11.46093,79.77941,8.759661,0.48649365,0.6908897,,,,,,,1,13.533881,77.32842,9.13769,0.47801906,0.6696642,,14.954617,12.622544,72.422844,0.7873411,0.10931126,,70.687416,15.563728,13.748856,0.2153072,0.13478187,,15.602669,15.563728,68.8336,0.76615465,0.13478187,,16.29227,11.6421585,72.065575,0.7788665,0.100821085,,74.47604,9.681373,15.842576,0.20683263,0.0838407,,16.720156,70.95588,12.323965,0.47801906,0.61447793,,75.25704,10.661767,14.081194,0.19412076,0.092330866,,66.807396,16.544113,16.648495,0.24920551,0.14327204,,75.032715,7.720588,17.246695,0.21106991,0.0668603,,Peer of the Leader,Yes,BarrettRespondantK,ShavonLeaderY,Story entry here.,Story title here.,nice,kind,cute,,,0.18312995,0.7171804,0.71347296,0.72631276,0.26228562,0.25142694,0.8269294,0.2788242,0.25437006,0.8267694,0.7820745,0.81763697,0.18049142,0.4295091,0.7636049,0.27425802,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b487,8,11:48.4,11:55.6,42.735474,34.5122,22.752329,0.4000843,0.29887563,,16.313753,69.63415,14.052102,0.48869175,0.6030317,,19.530779,65.731705,14.737516,0.47603366,0.5692366,,25.547832,62.622547,11.829619,0.4314089,0.54231125,,60.895954,13.112747,25.991302,0.3254767,0.11355639,,74.70039,12.622544,12.6770735,0.18988347,0.10931126,,16.13856,17.034317,66.827126,0.7534428,0.14751717,,54.818356,37.13235,8.049291,0.26615465,0.32156616,,42.654846,16.544113,40.80104,0.49073094,0.14327204,,22.307554,47.916668,29.775778,0.5373411,0.41495836,,78.646866,10.661767,10.691362,0.16022246,0.092330866,,18.435843,67.524506,14.039651,0.47801906,0.5847623,,Peer of the Leader,Yes,UmbertoRespondantC,JoeLeaderX,Story entry here.,Story title here.,aggressive,hard-working,high standards,,,0.8585753,0.7354338,0.8585753,0.7377169,0.59208447,0.8404566,0.8585753,0.73315066,0.5313985,0.78109586,0.534037,0.23086756,0.8585753,0.50712323,0.8585753,0.75598174,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b488,9,43:40.9,43:50.4,11.340456,59.681374,28.978172,0.5881886,0.5168407,,43.50231,16.544113,39.95358,0.48225635,0.14327204,,15.694062,70.46568,13.840254,0.49073094,0.61023283,,21.048012,67.19512,11.756868,0.45354426,0.5819098,,38.68174,47.68293,13.63533,0.37476796,0.41293415,,15.247679,69.80001,14.952317,0.49852318,0.6044679,,26.511612,23.40686,50.08152,0.6178496,0.20270343,,48.657665,24.877457,26.464876,0.38903603,0.21543874,,32.77615,18.504896,48.718956,0.579714,0.16025244,,17.826622,69.14633,13.0270405,0.4760021,0.59880733,,30.885176,41.341465,27.77336,0.48444092,0.3580171,,16.982738,69.14633,13.870923,0.48444092,0.59880733,,Direct report of the Leader,Yes,EmilyRespondantD,JoeLeaderX,Story entry here.,Story title here.,aggressive,hard-working,high standards,,,0.62904024,0.83590186,0.64487135,0.8632991,0.6395943,0.83590186,0.6237632,0.84503424,0.6950033,0.4980023,0.58154684,0.4934361,0.61848617,0.5025685,0.6000165,0.4980023,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b489,10,13:06.9,13:13.6,27.176281,63.602943,9.220774,0.41022247,0.55080146,,25.456444,57.72059,16.822968,0.45683262,0.49986032,,8.453286,86.64216,4.9045553,0.48225635,0.7503211,,18.763123,74.02439,7.2124877,0.44224682,0.64105123,,38.270172,56.951214,4.7786107,0.33254218,0.49319756,,12.243618,86.21951,1.5368701,0.44646624,0.746661,,11.639561,80.26961,8.09083,0.48225635,0.6951348,,11.21583,80.26961,8.514561,0.48649365,0.6951348,,12.308392,79.77941,7.9122,0.47801906,0.6908897,,38.832977,47.916668,13.250351,0.37208685,0.41495836,,32.04916,38.602943,29.347893,0.48649365,0.33430147,,18.190742,68.0147,13.79455,0.47801906,0.5890073,,Direct report of the Leader,Yes,MariaRespondantE,JoeLeaderX,Story entry here.,Story title here.,aggressive,hard-working,high standards,,,0.77152044,0.88613015,0.9773252,0.62585616,0.69764185,0.8815639,0.6343173,0.8815639,0.4944756,0.8769977,0.6264017,0.730879,0.43115106,0.89526254,0.9456629,0.5938927,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b490,11,50:39.2,50:46.1,13.742973,76.46342,9.793609,0.4802532,0.66217315,,26.596737,42.317074,31.08619,0.5224473,0.36646587,,11.547852,80.85367,7.5984864,0.4802532,0.7001927,,26.150196,63.112743,10.737061,0.42293432,0.5465564,,27.525238,45.955883,26.518879,0.4949682,0.39797795,,30.250395,55.759804,13.9898,0.41869703,0.48287985,,19.437004,62.132347,18.430647,0.4949682,0.53806615,,40.53621,16.544113,42.919678,0.51191735,0.14327204,,13.056143,56.25,30.69386,0.5881886,0.487125,,9.355894,85.243904,5.4002004,0.4802215,0.7382122,,23.587652,52.560978,23.851372,0.5013186,0.45517802,,9.355894,85.243904,5.4002004,0.4802215,0.7382122,,Direct report of the Leader,No,SophiaRespondantI,ShavonLeaderY,Story entry here.,Story title here.,aggressive,hard-working,high standards,,,0.65804756,0.6212785,0.6606861,0.6418265,0.67915577,0.5619178,0.6395779,0.47287673,0.62110823,0.5527854,0.6131927,0.5687671,0.6000001,0.5116895,0.6131927,0.4820091,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b491,12,09:12.3,09:19.0,13.376019,73.40686,13.217121,0.4992055,0.63570344,,17.966413,65.07353,16.960056,0.4949682,0.5635367,,15.872696,70.95588,13.171426,0.48649365,0.61447793,,17.60948,75.48781,6.902713,0.44646618,0.65372443,,25.097376,52.07318,22.829447,0.48866034,0.45095375,,10.641274,81.82928,7.529448,0.48444086,0.7086415,,30.588049,61.34147,8.07048,0.38741216,0.53121716,,18.89824,50.121956,30.979803,0.5604078,0.4340562,,6.9614115,92.56099,0.4776025,0.46758094,0.8015781,,95.1872,1.3414688,3.471325,0.041420594,0.011617114,,14.785859,73.53659,11.677549,0.48445845,0.6368268,,14.650006,13.048781,72.301216,0.78825605,0.11300249,,Direct report of the Leader,Yes,PaulRespondantJ,ShavonLeaderY,Story entry here.,Story title here.,aggressive,hard-working,high standards,,,0.8269294,0.84503424,0.8110983,0.8541667,0.8005442,0.8587329,0.79526716,0.8541667,0.77415895,0.84046805,0.77415895,0.4934361,0.779436,0.8039384,0.8137368,0.8267694,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b492,13,28:31.6,28:37.9,52.522068,21.34904,26.128895,0.36803412,0.18488266,,18.665081,39.780407,41.55451,0.6144471,0.34449834,,21.670761,37.81961,40.50963,0.59419435,0.32751784,,28.268837,63.112743,8.618418,0.40174788,0.5465564,,32.360725,37.13235,30.506918,0.49073094,0.32156616,,25.705698,66.54411,7.7501907,0.41022247,0.576272,,60.434853,31.746346,7.8188024,0.23691975,0.27492335,,10.86289,49.3122,39.824913,0.64481014,0.42704365,,20.172441,65.570724,14.256837,0.47042197,0.56784254,,5.6242723,93.9951,0.3806299,0.4737818,0.81399757,,41.07209,18.014702,40.9132,0.4992055,0.15600735,,4.0415235,95.46568,0.49279296,0.48225635,0.8267328,,Direct report of the Leader,Yes,KabirRespondantH,JoeLeaderX,Story entry here.,Story title here.,lazy,sloppy,disinterested,,,0.78805506,0.86946213,0.66786504,0.5919417,0.44650516,0.32532352,0.41698483,0.08419335,0.9546338,0.8841204,0.5603692,0.6502826,0.56243545,0.3690794,0.7649024,0.117010176,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b493,14,32:23.6,32:29.9,13.508955,71.446075,15.0449705,0.50768006,0.61872303,,31.542355,52.328426,16.129217,0.42293432,0.45316422,,16.632915,75.367645,7.999439,0.45683262,0.6526838,,47.69235,40.463417,11.8442335,0.32075945,0.3504132,,12.403264,55.682926,31.91381,0.5975527,0.4822141,,15.790303,70.51221,13.69749,0.48953596,0.6106357,,,,,,,1,18.21866,63.292683,18.488659,0.50135,0.5481146,,14.652718,75.48781,9.859475,0.47603378,0.6537244,,22.460766,59.878044,17.661186,0.4760021,0.5185439,,43.101913,44.756092,12.141994,0.34520042,0.3875878,,17.114466,67.19512,15.690413,0.49287975,0.5819098,,Peer of the Leader,,EmilyRespondantD,JoeLeaderX,Story entry here.,Story title here.,bully,ashamed,mad,,,0.7662434,0.65325344,0.4944756,0.3792808,0.60793203,0.8678653,0.7029189,0.666952,0.80845976,0.8313356,0.66597956,0.708048,0.5868239,0.8587329,0.6237632,0.447774,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b494,15,07:10.8,07:17.9,16.13856,17.034317,66.827126,0.7534428,0.14751717,,54.818356,37.13235,8.049291,0.26615465,0.32156616,,42.654846,16.544113,40.80104,0.49073094,0.14327204,,16.222216,33.536583,50.241203,0.6700949,0.29042682,,43.87787,14.512192,41.60994,0.48866034,0.12567559,,21.653934,21.829262,56.516808,0.6743143,0.18904144,,25.547832,62.622547,11.829619,0.4314089,0.54231125,,60.895954,13.112747,25.991302,0.3254767,0.11355639,,74.70039,12.622544,12.6770735,0.18988347,0.10931126,,15.941265,72.07316,11.985571,0.4802215,0.6241537,,14.7536545,58.41463,26.83171,0.5603903,0.50587076,,14.721751,74.51219,10.766057,0.4802215,0.6452756,,External to YG,,MariaRespondantE,JoeLeaderX,Story entry here.,Story title here.,nice,kind,cute,,,0.43115106,0.63042235,0.4364281,0.5208334,0.42587402,0.6943493,0.44170514,0.5938927,0.3546339,0.5984589,0.6211247,0.5664954,0.44698218,0.5710616,0.6264017,0.4980023,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b495,16,11:48.4,11:55.6,26.511612,23.40686,50.08152,0.6178496,0.20270343,,48.657665,24.877457,26.464876,0.38903603,0.21543874,,32.77615,18.504896,48.718956,0.579714,0.16025244,,41.24242,49.87745,8.88013,0.33818856,0.43193874,,12.715498,42.52451,44.759987,0.6602225,0.36826226,,12.574259,75.85784,11.567901,0.4949682,0.6569289,,21.048012,67.19512,11.756868,0.45354426,0.5819098,,38.68174,47.68293,13.63533,0.37476796,0.41293415,,15.247679,69.80001,14.952317,0.49852318,0.6044679,,,,,,,1,23.670134,52.818626,23.511238,0.4992055,0.4574093,,19.125431,63.602943,17.271624,0.49073094,0.55080146,,Peer of the Leader,,SophiaRespondantI,ShavonLeaderY,Story entry here.,Story title here.,aggressive,hard-working,high standards,,,0.5578001,0.36558217,0.35727242,0.39754564,0.6369558,0.37014842,0.72666556,0.35644978,0.6870877,0.708048,0.6844492,0.65325344,0.63167876,0.7582762,0.51294523,0.38841325,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b496,17,43:40.9,43:50.4,11.639561,80.26961,8.09083,0.48225635,0.6951348,,11.21583,80.26961,8.514561,0.48649365,0.6951348,,12.308392,79.77941,7.9122,0.47801906,0.6908897,,14.428383,72.560974,13.010639,0.4929113,0.6283781,,28.15277,44.26829,27.578941,0.49713084,0.3833634,,15.094228,72.07316,12.832607,0.4886919,0.6241537,,18.763123,74.02439,7.2124877,0.44224682,0.64105123,,38.270172,56.951214,4.7786107,0.33254218,0.49319756,,12.243618,86.21951,1.5368701,0.44646624,0.746661,,28.513935,62.622547,8.863516,0.40174788,0.54231125,,39.67628,38.602943,21.720774,0.41022247,0.33430147,,24.546675,68.0147,7.4386177,0.41445974,0.5890073,,Peer of the Leader,,PaulRespondantJ,ShavonLeaderY,Story entry here.,Story title here.,aggressive,hard-working,high standards,,,0.61848617,0.8678653,0.77415895,0.666952,0.6237632,0.47060502,0.602655,0.1372717,0.4839215,0.8724315,0.6395943,0.7126142,,,,,projectname,SenseMaker,En
2c0c3dbf-fb90-4301-b883-af3e9c26b497,18,13:06.9,13:13.6,19.437004,62.132347,18.430647,0.4949682,0.53806615,,40.53621,16.544113,42.919678,0.51191735,0.14327204,,13.056143,56.25,30.69386,0.5881886,0.487125,,22.307554,47.916668,29.775778,0.5373411,0.41495836,,78.646866,10.661767,10.691362,0.16022246,0.092330866,,18.435843,67.524506,14.039651,0.47801906,0.5847623,,26.150196,63.112743,10.737061,0.42293432,0.5465564,,27.525238,45.955883,26.518879,0.4949682,0.39797795,,30.250395,55.759804,13.9898,0.41869703,0.48287985,,4.465254,95.46568,0.0690625,0.47801906,0.8267328,,58.120953,41.544117,0.33493164,0.21106991,0.35977203,,0.14067152,99.841156,0.018167226,0.4992055,0.86493874,,Senior to the Leader,,BarrettRespondantK,ShavonLeaderY,Story entry here.,Story title here.,curious,attentive,informed,,,0.72402704,0.7811073,0.6343173,0.5938927,0.79526716,0.6623858,0.67653364,0.64868724,0.58418536,0.70348173,0.71083444,0.7171804,0.64487135,0.5938927,0.6686181,0.74457765,projectname,SenseMaker,En
